##ATTRIBUTES

#SKILLS		*
#LIFE		*
#POWER		*
#SPEED		****
#JUMP		****
#SPECIAL	****

##MAIN
name				Sammy_Kunai
	frame	data/chars/sammy/kunai/idle00.gif
	frame	data/chars/sammy/kunai/idle01.gif
	frame	data/chars/sammy/kunai/idle02.gif
	frame	data/chars/sammy/kunai/idle03.gif
	frame	data/chars/sammy/kunai/idle00.gif
	frame	data/chars/sammy/kunai/idle01.gif
	frame	data/chars/sammy/kunai/idle02.gif
	frame	data/chars/sammy/kunai/idle03.gif

anim walk
	loop	1
	delay	14
	offset	153 175
	bbox 	141 112 14 64
	frame	data/chars/sammy/kunai/walk00.gif
	frame	data/chars/sammy/kunai/walk01.gif
	bbox 	144 112 14 64
	frame	data/chars/sammy/kunai/walk02.gif
	bbox 	142 112 14 64
	frame	data/chars/sammy/kunai/walk03.gif
	bbox 	146 112 14 64
	frame	data/chars/sammy/kunai/walk04.gif
	frame	data/chars/sammy/kunai/walk05.gif
	
anim run
	loop	1 1 7
	delay	1
	offset	153 175
	bbox 	137 123 17 54
	sound	data/sounds/kof/Slide4.wav
	frame	data/chars/sammy/kunai/run00.gif
		delay	12
	frame	data/chars/sammy/kunai/run00.gif
	frame	data/chars/sammy/kunai/run01.gif
	bbox 	132 134 43 43
	frame	data/chars/sammy/kunai/run02.gif
	bbox 	140 123 15 54
	frame	data/chars/sammy/kunai/run03.gif
	frame	data/chars/sammy/kunai/run04.gif
	bbox 	132 134 43 43
	frame	data/chars/sammy/kunai/run05.gif
	
anim jumpdelay
	loop	0
	delay	12
	offset	153 175
	bbox 	144 130 17 47
	frame	data/chars/sammy/kunai/jumpdelay00.gif

anim jump
	loop	0
	delay	16
	offset	153 175
	bbox 	146 111 13 47
	sound	data/sounds/kof/Jump.wav
	frame	data/chars/sammy/kunai/jump00.gif
	bbox 	145 122 16 47
	frame	data/chars/sammy/kunai/jump01.gif
		delay	6
	bbox 	140 140 24 24
	frame	data/chars/sammy/kunai/jump02.gif
	frame	data/chars/sammy/kunai/jump03.gif
	frame	data/chars/sammy/kunai/jump04.gif
	frame	data/chars/sammy/kunai/jump05.gif
	bbox 	145 122 16 47
	frame	data/chars/sammy/kunai/jump01.gif
	
anim walkoff
	loop	0
	delay	16
	offset	153 175
	bbox 	146 111 13 47
	@cmd jump 1
	frame	data/chars/sammy/kunai/jump00.gif
	bbox 	145 122 16 47
	frame	data/chars/sammy/kunai/jump01.gif
	
anim jumpland
	loop	0
	delay	12
	offset	153 175
	bbox 	144 130 17 47
	sound	data/sounds/kof/Jumpland.wav
	frame	data/chars/sammy/kunai/jumpland00.gif
	
anim attack1
	fastattack 1
	jugglecost 10
	forcedirection -1
	hitflash blood
	loop	0
	delay	4
	offset	153 175
	bbox 	145 112 15 65
	hitfx	data/sounds/kof/Cutter.wav
	sound	data/sounds/Whoosh.wav
	frame	data/chars/sammy/kunai/a100.gif
	attack 188 125 15 9 8 1 1 0 10 12
	bbox 	145 117 15 60
	frame	data/chars/sammy/kunai/a101.gif
	attack 0 0 0 0
	bbox 	145 112 15 65
	frame	data/chars/sammy/kunai/a100.gif

anim jumpattack #JUMP STATIC
	fastattack 1
	jugglecost 5
	forcedirection -1
	loop	0
	delay	8
	offset	153 175
	bbox 	133 114 20 39
	hitfx	data/sounds/sf/HighKick.wav
	sound	data/sounds/sf/HighAttack.wav
	frame	data/chars/sammy/kunai/jumpatk00.gif
		delay	24
	attack 142 140 44 25 8 1 0 0 15 12
	bbox 	125 126 30 28
	sound	data/voices/sammy/Sammy2.wav
	frame	data/chars/sammy/kunai/jumpatk01.gif
		delay	6
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	127 125 28 28
	frame	data/chars/sammy/kunai/jumpatk02.gif
	bbox 	131 127 28 28
	frame	data/chars/sammy/kunai/jumpatk03.gif
	bbox 	136 124 29 27
	frame	data/chars/sammy/kunai/jumpatk04.gif

anim jumpattack2 #JUMP DOWN
	fastattack 1
	jugglecost 5
	forcedirection -1
	loop	0
	delay	4
	offset	153 175
	bbox 	131 131 29 27
	hitfx	data/sounds/sf/HighKick.wav
	sound	data/sounds/sf/HighAttack.wav
	frame	data/chars/sammy/kunai/jumpatk200.gif
	attack 136 150 24 27 8 0 0 0 10 12
	sound	data/voices/sammy/Sammy2.wav
	frame	data/chars/sammy/kunai/jumpatk200.gif
	
anim jumpattack3 #JUMP UP
	fastattack 1
	jugglecost 5
	forcedirection -1
	loop	0
	delay	4
	offset	153 175
	bbox 	140 141 28 30
	hitfx	data/sounds/sf/MediumKick.wav
	sound	data/sounds/sf/MediumAttack.wav
	frame	data/chars/sammy/kunai/jumpatk300.gif
	attack 149 143 45 29 4 0 0 0 10 12
	sound	data/voices/sammy/Sammy2.wav
	frame	data/chars/sammy/kunai/jumpatk300.gif

anim jumpforward #JUMP FORWARD
	fastattack 1
	jugglecost 5
	forcedirection -1
	loop	0
	delay	8
	offset	153 175
	bbox 	133 114 20 39
	hitfx	data/sounds/sf/HighKick.wav
	sound	data/sounds/sf/HighAttack.wav
	frame	data/chars/sammy/kunai/fjumpatk00.gif
	attack 138 138 57 19 8 1 0 0 10 12
	sound	data/voices/sammy/Sammy2.wav
	frame	data/chars/sammy/kunai/fjumpatk01.gif
	
anim attackboth #THROW KUNAI
	throwframe 1 9999
	loop	0
	delay	4
	offset	153 175
	bbox 	145 112 15 65
	@cmd antiwall 20 -20 -1
	frame	data/chars/sammy/kunai/a100.gif
	bbox 	0 0 0 0
	@cmd throweap 42 41 -1 3 0 0
	frame	data/chars/sammy/kunai/a103.gif
	bbox 	145 112 15 65
	frame	data/chars/sammy/kunai/a104.gif
	
anim runattack #KUNAI BLITZ
	fastattack 1
	jugglecost 10
	forcedirection -1
	hitflash blood
	loop	1 5 9
	delay	4
	offset	153 175
	hitfx	data/sounds/kof/Cutter.wav
	sound	data/sounds/kof/SpecialAttack2.wav
		seta	35
	@cmd leaper 3.2 0 0
	attack 178 170 19 5 8 1 1 0 10 12
	frame	data/chars/sammy/kunai/runatk00.gif
	sound	data/voices/sammy/Sammy2.wav
	frame	data/chars/sammy/kunai/runatk01.gif
	bbox 	102 163 68 13
	frame	data/chars/sammy/kunai/runatk00.gif
	frame	data/chars/sammy/kunai/runatk01.gif
		delay	8
		seta	0
	@cmd looper 2 4
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	128 139 34 24
	frame	data/chars/sammy/kunai/runatk02.gif
		delay	4
	@cmd jump 1
	bbox 	140 140 24 24
	frame	data/chars/sammy/kunai/jump02.gif
	frame	data/chars/sammy/kunai/jump03.gif
	frame	data/chars/sammy/kunai/jump04.gif
	frame	data/chars/sammy/kunai/jump05.gif
