background		data/bgs/st6/back01.gif		1 0 0 0 0 0 1 1 0 0
panel			data/bgs/st6/pn01.gif		none	none
fglayer			data/bgs/st6/fpn00.gif		0 -0.5 0 0 0 0 0 -1 1 1
order			a
coords		-100 440 0
at			1800

spawn		Biker3
flip		1
coords		-100 460 0
at			1800

spawn		Biker4
flip		1
coords		-150 440 0
at			1800

spawn		Biker1
flip		1
coords		-200 420 0
at			1800

spawn		Biker2
flip		1
coords		-200 440 0
at			1800

spawn		Biker3
flip		1
coords		-200 460 0
at			1800

spawn		Biker4
flip		1
coords		-250 440 0
at			1800

spawn		Biker1
2pspawn
flip		1
coords		-300 420 0
at			1800

spawn		Biker2
2pspawn
flip		1
coords		-300 440 0
at			1800

spawn		Biker3
2pspawn
flip		1
coords		-300 460 0
at			1800

spawn		Biker4
2pspawn
flip		1
coords		-350 440 0
at			1800

spawn		Biker1
3pspawn
flip		1
coords		-400 420 0
at			1800

spawn		Biker2
3pspawn
flip		1
coords		-400 440 0
at			1800

spawn		Biker3
3pspawn
flip		1
coords		-400 460 0
at			1800

spawn		Biker4
3pspawn
flip		1
coords		-450 440 0
at			1800

spawn		Biker1
4pspawn
flip		1
coords		-500 420 0
at			1800

spawn		Biker2
4pspawn
flip		1
coords		-500 440 0
at			1800

spawn		Biker3
4pspawn
flip		1
coords		-500 460 0
at			1800

spawn		Biker4
4pspawn
flip		1
coords		-550 440 0
at			1800

spawn		Electra3
flip		1
coords		600 420 0
at			1800

spawn		Electra2
flip		1
coords		700 440 0
at			1800

spawn		Electra3
2pspawn
flip		1
coords		600 460 0
at			1800

spawn		Electra2
3pspawn
flip		1
coords		-100 420 0
at			1800

spawn		Electra3
4pspawn
flip		1
coords		-100 460 0
at			1800

wait
at			1850

#########################################################################################

spawn		SandBag
flip		0
coords		550 410 0
at			1851

spawn		SandBag
flip		0
coords		600 440 0
at			1851

spawn		SandBag
flip		0
coords		650 410 0
at			1851

spawn		SandBag
flip		0
coords		700 460 0
at			1851

spawnscript data/scripts/spawnlevel/music_boss.c
at			1851

spawn		Zamza1
flip		0
boss		1
coords		950 430 0
at			1851

spawn		JetX
flip		0
coords		-300 430 0
at			2350
