##ATTRIBUTES

#SKILLS		***
#LIFE		**
#POWER		**
#SPEED		***
#JUMP		***
#SPECIAL	**

##MAIN
name				Ninja0
	frame	data/chars/ninja/jump01.gif
	frame	data/chars/ninja/jump02.gif
	frame	data/chars/ninja/jump03.gif
	
anim jumpland
	loop	0
	delay	12
	offset	145 181
	bbox 	132 134 32 49
	sound	data/sounds/kof/Jumpland.wav
	frame	data/chars/ninja/jumpland00.gif

anim pain #UP
	loop	0
	delay	4
	offset	145 181
	bbox 	131 111 25 72
	frame	data/chars/ninja/pain00.gif
	frame	data/chars/ninja/pain01.gif
	frame	data/chars/ninja/pain00.gif
	frame	data/chars/ninja/pain01.gif
	frame	data/chars/ninja/pain00.gif
	frame	data/chars/ninja/pain01.gif
	frame	data/chars/ninja/pain00.gif
	frame	data/chars/ninja/pain01.gif
	frame	data/chars/ninja/pain00.gif
	frame	data/chars/ninja/pain01.gif
	frame	data/chars/ninja/pain00.gif
	frame	data/chars/ninja/pain01.gif

anim pain2 #DOWN
	loop	0
	delay	4
	offset	145 181
	bbox 	135 111 30 72
	frame	data/chars/ninja/pain200.gif
	frame	data/chars/ninja/pain201.gif
	frame	data/chars/ninja/pain200.gif
	frame	data/chars/ninja/pain201.gif
	frame	data/chars/ninja/pain200.gif
	frame	data/chars/ninja/pain201.gif
	frame	data/chars/ninja/pain200.gif
	frame	data/chars/ninja/pain201.gif
	frame	data/chars/ninja/pain200.gif
	frame	data/chars/ninja/pain201.gif
	frame	data/chars/ninja/pain200.gif
	frame	data/chars/ninja/pain201.gif

anim fall #NORMAL
	landframe 1
	loop	0
	delay	999
	offset	145 181
	bbox 	126 115 40 42
	frame	data/chars/ninja/fall00.gif
		delay	8
	bbox 	0 0 0 0
	sound	data/sounds/sf/Fall.wav
	frame	data/chars/ninja/fall01.gif

anim burn #BURNED FALL
	landframe 2
	loop	1 0 2
	delay	3
	offset	145 181
	bbox 	126 115 40 42
	drawmethod tintmode 6
	drawmethod tintcolor 255
	frame	data/chars/ninja/fall00.gif
	@cmd spawn01 "smoke" 0 50 0
	drawmethod tintmode 2
	drawmethod tintcolor 255
	frame	data/chars/ninja/fall00.gif
		delay	8
	bbox 	0 0 0 0
	nodrawmethod
	sound	data/sounds/sf/Fall.wav
	frame	data/chars/ninja/fall01.gif

anim shock #SHOCKED FALL
	landframe 2
	loop	1 0 2
	delay	3
	offset	145 181
	bbox 	126 115 40 42
	drawmethod tintmode 6
	drawmethod tintcolor -255
	frame	data/chars/ninja/fall00.gif
	drawmethod tintmode 2
	drawmethod tintcolor -255
	frame	data/chars/ninja/fall00.gif
		delay	8
	bbox 	0 0 0 0
	nodrawmethod
	sound	data/sounds/sf/Fall.wav
	frame	data/chars/ninja/fall01.gif
	
anim fall6 #SPIN FALL
	landframe 4
	loop	1 0 4
	delay	3
	offset	145 181
	frame	data/chars/ninja/fall600.gif
	frame	data/chars/ninja/fall601.gif
	frame	data/chars/ninja/fall602.gif
	frame	data/chars/ninja/fall603.gif
		delay	8
	sound	data/sounds/sf/Fall.wav
	frame	data/chars/ninja/fall01.gif

anim fall7 #SLAMSTART POSITION
	loop	0
	delay	1000
	offset	145 181
	frame	data/chars/ninja/fall700.gif
	frame	data/chars/ninja/fall701.gif
	frame	data/chars/ninja/fall702.gif
	frame	data/chars/ninja/fall703.gif
	frame	data/chars/ninja/fall704.gif
	frame	data/chars/ninja/fall705.gif

anim fall8 #FINISH/THROW TYPE 3
	landframe 1
	loop	0
	delay	999
	offset	145 181
	bbox 	126 115 40 42
	hitfx	data/sounds/sf/MediumKick.wav
	@cmd obstacle 0
	attack 126 115 40 42 4 1 0 0 0 12
	frame	data/chars/ninja/fall00.gif
		delay	8
	bbox 	0 0 0 0
	sound	data/sounds/sf/Fall.wav
	attack 0 0 0 0
	frame	data/chars/ninja/fall01.gif

anim fall9 #FINISH/THROW TYPE 2
	landframe 1
	loop	0
	delay	999
	offset	145 181
	bbox 	129 128 32 53
	hitfx	data/sounds/sf/MediumKick.wav
	@cmd obstacle 0
	attack 129 128 32 53 4 1 0 0 0 12
	frame	data/chars/ninja/fall900.gif
		delay	8
	bbox 	0 0 0 0
	sound	data/sounds/sf/Fall.wav
	attack 0 0 0 0
	frame	data/chars/ninja/fall01.gif

anim rise
	loop	0
	delay	16
	offset	145 181
	@cmd obstacle 1
	frame	data/chars/ninja/rise00.gif
	frame	data/chars/ninja/rise00.gif
	frame	data/chars/ninja/rise01.gif
	frame	data/chars/ninja/rise01.gif

anim attack1
	range 20 60
	rangea 0 0
	fastattack 1
	jugglecost 10
	forcedirection -1
	loop	0
	delay	6
	offset	145 181
	bbox 	131 111 27 72
	hitfx	data/sounds/sf/LowPunch.wav
	sound	data/sounds/sf/LowAttack.wav
	attack 148 115 46 14 2 0 0 0 10 12
	frame	data/chars/ninja/a100.gif
	attack 0 0 0 0
	frame	data/chars/ninja/a101.gif
	
anim attack2
	range 20 60
	rangea 0 0
	fastattack 1
	jugglecost 20
	forcedirection -1
	loop	0
	delay	6
	offset	145 181
	bbox 	136 111 19 72
	hitfx	data/sounds/sf/MediumPunch.wav
	sound	data/sounds/sf/MediumAttack.wav
	frame	data/chars/ninja/a200.gif
	attack 150 112 46 17 4 0 0 0 15 12
	sound	data/voices/enemy/Attack2.wav
	frame	data/chars/ninja/a201.gif
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/ninja/a201.gif
	attack 152 112 46 33 8 1 0 0 15 12
	bbox 	131 111 27 72
	frame	data/chars/ninja/a202.gif
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/ninja/a203.gif
	frame	data/chars/ninja/a204.gif
	
anim grabattack #THROW
	loop	0
	delay	16
	offset	145 181
	@cmd slamstart
	@cmd position 0 20 0 0 0
	@cmd antiwall -30 30 0
	frame	data/chars/ninja/throw00.gif
	@cmd position 5 10 12 0 0
	frame	data/chars/ninja/throw01.gif
	@cmd position 2 -20 30 0 -1
	sound	data/voices/enemy/Attack1.wav
	frame	data/chars/ninja/throw02.gif
		delay	32
	@cmd depost 0
	@cmd throw 12 2 2 3 0 0
	frame	data/chars/ninja/throw02.gif
		delay	8
	@cmd clearL
	frame	data/chars/ninja/throw03.gif
	
anim grabattack2 #THROW
	loop	0
	delay	16
	offset	145 181
	@cmd slamstart
	@cmd position 0 20 0 0 0
	@cmd antiwall -30 30 0
	frame	data/chars/ninja/throw00.gif
	@cmd position 5 10 12 0 0
	frame	data/chars/ninja/throw01.gif
	@cmd position 2 -20 30 0 -1
	sound	data/voices/enemy/Attack1.wav
	frame	data/chars/ninja/throw02.gif
		delay	32
	@cmd depost 0
	@cmd throw 12 2 2 3 0 0
	frame	data/chars/ninja/throw02.gif
		delay	8
	@cmd clearL
	frame	data/chars/ninja/throw03.gif
	
anim jumpattack
	range 40 120
	rangea 0 200
	fastattack 1
	jugglecost 10
	forcedirection -1
	loop	0
	delay	16
	offset	145 181
	bbox 	132 123 34 49
	hitfx	data/sounds/sf/HighPunch.wav
	sound	data/sounds/kof/Jump.wav
	frame	data/chars/ninja/jumpatk00.gif
	sound	data/sounds/sf/HighAttack.wav
	attack 151 133 36 24 8 0 0 0 10 12
	frame	data/chars/ninja/jumpatk01.gif
	attack 0 0 0 0 0 0 0 0 0 0
	sound	data/voices/enemy/Attack2.wav
	frame	data/chars/ninja/jumpatk01.gif
	attack 151 133 36 24 8 0 0 0 10 12
	frame	data/chars/ninja/jumpatk01.gif
	
anim freespecial #FRONT STAR
	range 150 400
	rangea 0 200
	fastattack 1
	jugglecost 0
	forcedirection 0
	energycost 40 1
	loop	0
	delay	8
	offset	145 181
	bbox 	136 111 19 72
	sound	data/sounds/sf/HighAttack.wav
	@cmd antiwall 20 -20 -1
	frame	data/chars/ninja/star00.gif
	sound	data/voices/enemy/Attack2.wav
	frame	data/chars/ninja/star01.gif
	@cmd shooter "star" 46 61 0 3 0 0
	frame	data/chars/ninja/star02.gif
	bbox 	131 111 27 72
	frame	data/chars/ninja/star03.gif
	frame	data/chars/ninja/star04.gif
	
anim freespecial2 #JUMP STAR
	range 150 400
	rangea 0 200
	landframe 8
	fastattack 1
	jugglecost 0
	forcedirection 0
	energycost 40 1
	loop	0
	delay	12
	offset	145 181
	bbox 	132 134 32 49
	@cmd antiwall 20 -20 -1
	frame	data/chars/ninja/jumpdelay00.gif
		delay	1
	bbox 	128 151 33 32
	@cmd leaper 0 5 0
	sound	data/sounds/kof/Jump.wav
	frame	data/chars/ninja/jump00.gif
		delay	6
	frame	data/chars/ninja/jump00.gif
	frame	data/chars/ninja/jump01.gif
	frame	data/chars/ninja/jump02.gif
	frame	data/chars/ninja/jump03.gif
	@cmd looper 2 1
	bbox 	132 123 34 49
	sound	data/voices/enemy/Attack2.wav
	frame	data/chars/ninja/star200.gif
		delay	999
	@cmd tosser5 "star" 40 29 0 2 -0.5 0 0
	@cmd tosser5 "star" 40 29 0 2 -2 0 0 0
	@cmd tosser5 "star" 40 29 0 2 -4.5 0 0
	frame	data/chars/ninja/star201.gif
		delay	12
	bbox 	130 135 32 49
	sound	data/sounds/kof/Jumpland.wav
	frame	data/chars/ninja/star202.gif
	
anim freespecial3 #LOW KICK
	range 20 60
	rangea 0 0
	fastattack 1
	jugglecost 20
	forcedirection -1
	loop	0
	delay	12
	offset	145 181
	bbox 	132 136 32 48
	hitfx	data/sounds/sf/MediumKick.wav
	sound	data/sounds/sf/MediumAttack.wav
	frame	data/chars/ninja/kick00.gif
	sound	data/voices/enemy/Attack2.wav
	frame	data/chars/ninja/kick01.gif
	attack 145 160 60 24 4 1 0 0 10 12
	frame	data/chars/ninja/kick02.gif
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/ninja/kick03.gif
	bbox 	131 111 27 72
	frame	data/chars/ninja/kick04.gif
	
anim freespecial4 #JUMP ADVANCE
	range 100 600
	rangea 0 600
	rangez -600 600
	landframe 7
	loop	1 3 7
	delay	12
	offset	145 181
	bbox 	132 134 32 49
	frame	data/chars/ninja/jumpdelay00.gif
		delay	1
	bbox 	128 151 33 32
	@cmd leaper 0 3.5 0
	@cmd target 2 2 0 0 1
	@cmd dash
	sound	data/sounds/kof/Jump.wav
	frame	data/chars/ninja/jump00.gif
	sound	data/voices/enemy/Attack2.wav
	frame	data/chars/ninja/jump00.gif
		delay	6
	@cmd cancel 0 40 -600 100 -600 600 "ANI_FOLLOW3"
	frame	data/chars/ninja/jump00.gif
	@cmd cancel 0 40 -600 100 -600 600 "ANI_FOLLOW3"
	frame	data/chars/ninja/jump01.gif
	@cmd cancel 0 40 -600 100 -600 600 "ANI_FOLLOW3"
	frame	data/chars/ninja/jump02.gif
	@cmd cancel 0 40 -600 100 -600 600 "ANI_FOLLOW3"
	frame	data/chars/ninja/jump03.gif
		delay	12
	bbox 	132 134 32 49
	sound	data/sounds/kof/Jumpland.wav
	frame	data/chars/ninja/jumpland00.gif
	
anim follow3 #JUMP ATTACK
	fastattack 1
	jugglecost 10
	forcedirection -1
	landframe 4
	loop	0
	delay	16
	offset	145 181
	bbox 	132 123 34 49
	hitfx	data/sounds/sf/HighPunch.wav
	sound	data/sounds/sf/HighAttack.wav
	frame	data/chars/ninja/jumpatk00.gif
	attack 151 133 36 24 8 0 0 0 10 12
	frame	data/chars/ninja/jumpatk01.gif
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/ninja/jumpatk01.gif
		delay	999
	attack 151 133 36 24 8 0 0 0 10 12
	frame	data/chars/ninja/jumpatk01.gif
		delay	12
	bbox 	132 134 32 49
	sound	data/sounds/kof/Jumpland.wav
	frame	data/chars/ninja/jumpland00.gif
	
anim block #EVADE
	range 0 200
	rangea 0 200
	rangez -200 200
	loop	0
	delay	6
	offset	145 181
	@cmd block 0
	@cmd moveX 2 
	@cmd spawner2 "ninja_evade" 0 0 0
	sound	data/voices/ninja/Ninja1.wav
	frame	data/chars/ninja/evade00.gif
	@cmd spawner2 "ninja_evade" 0 0 0
	frame	data/chars/ninja/evade00.gif
	@cmd spawner2 "ninja_evade" 0 0 0
	frame	data/chars/ninja/evade00.gif
	@cmd spawner2 "ninja_evade" 0 0 0
	frame	data/chars/ninja/evade00.gif
