name	Jet
	frame	data/chars/jet/walk2.gif
       	delay	8
        offset  55 160
#	bbox	41 -50 32 90
	frame	data/chars/jet/walk1.gif
	sound data/sounds/jet.wav
 	delay	18
        offset	48 160
#        bbox    34 -31 39 60
	frame	data/chars/jet/dive2.gif
        move    18
 	delay	2
#       	bbox	34 -31 39 60
        attack	50 -33 28 45 15 1
	frame	data/chars/jet/dive1.gif
        offset	48 140
#        bbox	34 -11 39 60
        attack	60 -13 28 80 15 1
	frame	data/chars/jet/dive1.gif
        offset	48 120
#        bbox	34 9 39 60
        attack	60 7 28 80 15 1
        frame	data/chars/jet/dive2.gif
      # standard bbox
        offset	48 100
#        bbox	34 29 39 60
        attack	60 27 28 80 15 1
        frame	data/chars/jet/dive1.gif
        delay	4
        frame	data/chars/jet/dive1.gif
        frame	data/chars/jet/dive2.gif
        frame	data/chars/jet/dive1.gif


anim attack2 
      	loop	0
        offset	29 98
#       	bbox	7 20 42 71
	sound data/sounds/jfire.wav
        frame	data/chars/jet/flame1.gif
        delay	10
        attack	50 25 45 33 8  
       	frame	data/chars/jet/flame2.gif
        attack	0
        delay	8
        frame	data/chars/jet/flame3.gif
        delay	10
#       	bbox	7 20 42 71
        attack	50 25 45 33 8
        frame	data/chars/jet/flame4.gif
        attack	0
        delay	8
        frame	data/chars/jet/flame5.gif
        delay	10
#       	bbox	7 20 42 71
        attack	50 25 45 33 10
        frame	data/chars/jet/flame2.gif
        attack	0
        delay	8
        frame	data/chars/jet/flame5.gif
        delay	10
#        bbox	7 20 42 71
        attack	50 25 45 33 10
        frame	data/chars/jet/flame2.gif
        attack	0
        delay	10
 	frame	data/chars/jet/flame10.gif


anim attack1
        range   140 170
        loop	0
 	delay	20
 	offset	55 100
 	bbox	32 15 32 77
	sound data/sounds/jet.wav
       	frame	data/chars/jet/sman1.gif
        delay	2
        offset	62 83
       	attack	63 9 69 46 20 1
 	frame	data/chars/jet/sman2.gif
        move    15
        frame	data/chars/jet/sman2.gif
 	frame	data/chars/jet/sman3.gif
        frame	data/chars/jet/sman3.gif
 	frame	data/chars/jet/sman4.gif
        frame	data/chars/jet/sman4.gif
       	frame	data/chars/jet/sman2.gif
 	frame	data/chars/jet/sman2.gif
 	frame	data/chars/jet/sman3.gif
 	frame	data/chars/jet/sman3.gif
        frame	data/chars/jet/sman4.gif
        frame	data/chars/jet/sman4.gif
       	frame	data/chars/jet/sman2.gif
 	frame	data/chars/jet/sman2.gif


anim special
 	loop	0
        delay	1
        offset	29 98
        attack	50 25 45 33 15 1  
	sound data/sounds/jfire.wav
    	frame	data/chars/jet/flame2.gif
        attack	0
  	frame	data/chars/jet/flame10.gif



        
